Class,Data
book,"-469.81573,98.08185,1.0264304,25.149126,-13.044145,0.1806454,-12.9159,-0.48114708,-8.508921,-7.5795345,1.8225502,-10.691948,0.24948968,-6.6825476,-8.094745,0.83030784,-4.044256,-8.206593,-3.9175615,-9.07444"
book,"-452.11484,100.21431,-4.5809345,33.763676,-9.664471,2.5119863,-24.194384,0.5200147,-2.6063306,-12.865047,2.1464713,-10.493342,0.1892104,-3.3882573,-14.53867,-2.7748473,1.5734639,-12.872198,-6.9399576,-6.879874"
book,"-511.36526,84.83457,-2.9542227,18.577793,-14.977829,1.3486841,-14.5481205,-3.6288593,-7.3862085,-5.8319416,0.55322504,-11.1164055,-0.21310538,-4.4409614,-5.7950954,-1.9544306,-3.1284616,-9.749587,-8.635664,-5.7500415"
book,"-476.4748,102.905396,-0.8003783,10.324616,-18.51879,0.11396272,-5.630855,-4.4892197,-9.248402,-1.981471,-0.2066919,-11.68279,-2.1947618,-3.87983,-7.492473,-6.181001,-2.3643043,-7.291369,-9.088597,-9.275703"
book,"-494.52097,99.46926,6.8097105,13.816305,-23.18735,0.053258494,-12.739609,-5.1423597,-7.591562,-5.3417983,2.0567772,-11.316292,-3.7422593,0.38470125,-4.4305983,-6.7967677,-1.7704531,-9.488123,-9.859116,-10.2034025"
book,"-469.81573,98.08185,1.0264304,25.149126,-13.044145,0.1806454,-12.9159,-0.48114708,-8.508921,-7.5795345,1.8225502,-10.691948,0.24948968,-6.6825476,-8.094745,0.83030784,-4.044256,-8.206593,-3.9175615,-9.07444"
book,"-452.11484,100.21431,-4.5809345,33.763676,-9.664471,2.5119863,-24.194384,0.5200147,-2.6063306,-12.865047,2.1464713,-10.493342,0.1892104,-3.3882573,-14.53867,-2.7748473,1.5734639,-12.872198,-6.9399576,-6.879874"
book,"-511.36526,84.83457,-2.9542227,18.577793,-14.977829,1.3486841,-14.5481205,-3.6288593,-7.3862085,-5.8319416,0.55322504,-11.1164055,-0.21310538,-4.4409614,-5.7950954,-1.9544306,-3.1284616,-9.749587,-8.635664,-5.7500415"
book,"-476.4748,102.905396,-0.8003783,10.324616,-18.51879,0.11396272,-5.630855,-4.4892197,-9.248402,-1.981471,-0.2066919,-11.68279,-2.1947618,-3.87983,-7.492473,-6.181001,-2.3643043,-7.291369,-9.088597,-9.275703"
book,"-494.52097,99.46926,6.8097105,13.816305,-23.18735,0.053258494,-12.739609,-5.1423597,-7.591562,-5.3417983,2.0567772,-11.316292,-3.7422593,0.38470125,-4.4305983,-6.7967677,-1.7704531,-9.488123,-9.859116,-10.2034025"
book,"-539.19525,106.80425,9.338503,22.109844,-3.0648394,-6.060409,-16.708141,-4.7243104,-12.937258,-5.7869415,-0.07477777,-5.54911,2.5440822,-4.7388396,-7.6104155,-6.6019673,-4.942248,-8.790715,-1.9108895,-2.0085397"
book,"-499.86868,101.97048,4.6036005,23.820854,-3.7416618,-4.40961,-19.232445,-3.2704568,-13.803972,-12.3867655,-1.7497659,-9.120453,-2.2735155,-3.0786119,-8.796926,-7.844636,-2.8850665,-10.183158,-1.6853031,0.3008079"
book,"-506.62732,99.50062,4.738683,25.442938,1.9865304,1.2168483,-13.896286,2.4366667,-4.43616,-6.512996,1.3596163,-7.4416914,-1.5961231,-4.0271244,-5.407344,-4.319765,-2.8121176,-5.3638744,-1.3354255,-0.33267975"
book,"-522.2783,105.4314,4.3959775,18.844622,-1.0175729,-1.2978467,-15.601612,-7.2758694,-9.48301,-7.873993,-1.1013892,-5.039826,0.52080745,-2.4374833,-8.4903345,-6.475149,-2.021501,-9.157044,-5.292705,-2.2563174"
book,"-451.00284,108.264084,6.218097,16.141226,-7.032914,-3.8521206,-12.562844,-2.4964917,-8.313637,-5.373005,-4.1537724,-4.5402665,4.414286,-2.619373,-5.384502,-7.389227,-2.7825603,-7.2346826,-4.0888143,-4.1459565"
book,"-539.19525,106.80425,9.338503,22.109844,-3.0648394,-6.060409,-16.708141,-4.7243104,-12.937258,-5.7869415,-0.07477777,-5.54911,2.5440822,-4.7388396,-7.6104155,-6.6019673,-4.942248,-8.790715,-1.9108895,-2.0085397"
book,"-499.86868,101.97048,4.6036005,23.820854,-3.7416618,-4.40961,-19.232445,-3.2704568,-13.803972,-12.3867655,-1.7497659,-9.120453,-2.2735155,-3.0786119,-8.796926,-7.844636,-2.8850665,-10.183158,-1.6853031,0.3008079"
book,"-506.62732,99.50062,4.738683,25.442938,1.9865304,1.2168483,-13.896286,2.4366667,-4.43616,-6.512996,1.3596163,-7.4416914,-1.5961231,-4.0271244,-5.407344,-4.319765,-2.8121176,-5.3638744,-1.3354255,-0.33267975"
book,"-522.2783,105.4314,4.3959775,18.844622,-1.0175729,-1.2978467,-15.601612,-7.2758694,-9.48301,-7.873993,-1.1013892,-5.039826,0.52080745,-2.4374833,-8.4903345,-6.475149,-2.021501,-9.157044,-5.292705,-2.2563174"
book,"-451.00284,108.264084,6.218097,16.141226,-7.032914,-3.8521206,-12.562844,-2.4964917,-8.313637,-5.373005,-4.1537724,-4.5402665,4.414286,-2.619373,-5.384502,-7.389227,-2.7825603,-7.2346826,-4.0888143,-4.1459565"
book,"-447.68878,91.66495,0.9303194,17.787384,-18.830103,3.8385773,-4.033567,-5.5031023,-0.27779517,-2.1368098,-2.887796,-3.698959,-4.472593,-8.679004,-2.262125,-2.7311363,-0.9795427,-6.8734603,-3.5677557,-0.75804275"
book,"-465.70068,103.06594,-7.5464196,3.3393385,-27.443783,5.7368965,-5.575958,-9.727541,4.6573224,-4.45905,-1.578025,-3.1545076,-9.666357,-13.980185,-9.0267105,-3.0926328,-2.2833037,-9.272334,-6.6242824,-2.1413248"
book,"-481.3427,98.47317,-7.5081096,12.386891,-22.254654,3.573145,-15.574957,-9.167659,-4.4967933,-9.221743,-2.6450586,-4.708739,-6.9877048,-11.005409,-4.535414,-8.786478,-5.568282,-5.521057,-2.4487894,-5.164612"
book,"-455.5891,97.24226,-10.509345,9.549395,-25.153671,10.206073,-9.624143,-6.2846746,-1.6598428,-3.257324,-3.807148,-3.437343,-1.4974,-12.171239,-4.9342456,-6.4778056,-4.5884924,-9.285804,-2.4037712,-0.29498404"
book,"-434.91895,79.83494,-5.1972528,2.8274722,-29.773043,-0.50401896,-6.8324413,-5.9731197,-2.2319825,-4.950078,-2.8184557,-8.5751295,-5.9612627,-9.416858,-8.180642,-6.258119,-3.6020575,-7.5090694,-5.264157,-1.055456"
book,"-512.9654,105.468895,-4.858043,7.014499,-20.099945,4.3124185,-5.110979,-7.043434,-4.408745,-8.107581,-2.7339277,-0.23561522,-6.552232,-10.555852,-5.179255,-5.181929,-1.0063899,-10.413984,-5.9872236,-2.750695"
book,"-486.55243,95.18708,0.4415492,16.140083,-10.449203,3.9410303,-18.984123,-6.4303436,-3.9898446,-1.664179,-0.5089955,-6.083588,-0.5866678,-7.2484803,-5.992461,-8.87639,-2.8320389,-4.5133696,-0.37300128,-1.100667"
book,"-474.95663,104.38732,-3.8752885,8.513251,-16.33609,6.4771285,-10.132352,-5.234179,-4.0331945,-2.8162572,0.36334866,-5.4329095,-2.6148124,-10.458545,-6.196902,-6.787581,-4.7851014,-5.76532,-5.1851892,-0.9581883"
book,"-505.9855,94.20822,-1.0930912,12.2935,-20.699728,7.515915,-5.0884457,-9.369501,-4.68552,-8.092846,-2.2021835,-5.624303,-6.4761477,-7.819943,-4.2881737,-4.9807677,-4.636601,-4.166799,-2.488609,-2.9228837"
book,"-504.9778,85.813934,4.788447,7.648971,-11.103488,1.627614,-4.528127,-4.713755,-5.1945486,-2.5637107,-4.6033707,-2.19717,-1.4208893,-12.369971,-7.0411024,-8.860743,-3.938805,-4.354025,-3.051054,-0.6216905"
book,"-519.7541,118.818634,2.6170359,1.964883,-1.8948236,12.962952,-11.389455,-1.9637169,-7.784107,-14.840495,-6.796884,-10.524892,-4.1029997,-6.1736794,-3.7218997,-4.3240237,-1.572944,-4.6573915,-7.9044566,-3.456309"
book,"-558.8944,123.00888,-7.62958,10.717418,-2.0789301,10.307219,-4.446992,6.5600343,-10.703342,-13.578941,-4.633236,-11.822867,-5.391132,-7.8808537,0.059147295,-6.234509,-3.701387,-3.4260018,-5.017415,-3.494966"
book,"-558.3234,125.74339,-5.9573674,9.205477,2.4774082,7.182547,-6.9705667,2.5459876,-10.665175,-12.74022,-8.84558,-11.448957,-3.8965049,-8.084044,-3.012843,-5.0930414,-1.6440687,-5.679413,-5.6512837,-1.7103728"
book,"-562.7371,121.33807,3.83809,4.842211,2.0414913,11.572329,-7.444937,3.6630774,-9.600335,-11.919221,-8.683714,-11.167644,-3.0642276,-8.694948,-1.5165455,-5.9046087,-1.1362239,-3.3172886,-7.9885263,-2.1007583"
book,"-549.1979,118.94783,0.3890988,-0.95813066,-1.1753318,16.957537,-7.75101,0.84570116,-4.989088,-5.654746,-6.506428,-12.4302225,-3.974728,-6.8965793,-1.5679986,-6.7933145,-0.8989753,-3.4265618,-5.3597736,-4.164623"
book,"-549.1979,118.94783,0.3890988,-0.95813066,-1.1753318,16.957537,-7.75101,0.84570116,-4.989088,-5.654746,-6.506428,-12.4302225,-3.974728,-6.8965793,-1.5679986,-6.7933145,-0.8989753,-3.4265618,-5.3597736,-4.164623"
book,"-562.7371,121.33807,3.83809,4.842211,2.0414913,11.572329,-7.444937,3.6630774,-9.600335,-11.919221,-8.683714,-11.167644,-3.0642276,-8.694948,-1.5165455,-5.9046087,-1.1362239,-3.3172886,-7.9885263,-2.1007583"
book,"-558.3234,125.74339,-5.9573674,9.205477,2.4774082,7.182547,-6.9705667,2.5459876,-10.665175,-12.74022,-8.84558,-11.448957,-3.8965049,-8.084044,-3.012843,-5.0930414,-1.6440687,-5.679413,-5.6512837,-1.7103728"
book,"-558.8944,123.00888,-7.62958,10.717418,-2.0789301,10.307219,-4.446992,6.5600343,-10.703342,-13.578941,-4.633236,-11.822867,-5.391132,-7.8808537,0.059147295,-6.234509,-3.701387,-3.4260018,-5.017415,-3.494966"
book,"-519.7541,118.818634,2.6170359,1.964883,-1.8948236,12.962952,-11.389455,-1.9637169,-7.784107,-14.840495,-6.796884,-10.524892,-4.1029997,-6.1736794,-3.7218997,-4.3240237,-1.572944,-4.6573915,-7.9044566,-3.456309"
draw,"-424.80444,122.15151,-5.946558,3.3785245,-16.939634,-15.491551,-16.0055,3.0668817,-9.83117,-12.494615,3.8018913,-9.797918,-12.616676,-14.052715,-10.94953,-1.4833069,-6.192216,-14.111188,-3.3274271,-1.8001735"
draw,"-432.83145,141.02913,-16.672855,3.387083,-13.491444,-1.872563,-7.1098986,-8.756457,1.2843983,-5.774808,-0.84725034,-3.9220347,-7.391315,-2.9401116,-6.9332404,-3.3542738,-3.2384272,-10.483752,-0.45861924,-4.716074"
draw,"-403.52924,136.22783,-18.8699,3.5308597,-24.691498,5.4071236,-13.860598,-2.8777618,-3.131687,-5.1644807,1.066338,-6.2729993,-5.3383627,-8.224315,-1.15254,-4.3302245,-2.4348264,-7.9219785,-3.8370476,-8.127057"
draw,"-376.12698,137.57178,-7.289357,11.736701,-30.969702,-15.856744,-6.0330296,-4.4783416,-13.657166,-6.768672,3.1625016,-5.356989,-6.216313,-4.1836925,-5.64055,-6.0073915,-2.0297422,-15.478105,-9.373296,-2.9636369"
draw,"-440.4981,134.92238,-7.562106,30.406286,-12.652079,-6.5203366,-7.281939,-4.430929,-7.678276,-9.747613,7.938288,-13.885753,-5.933056,-10.012185,-20.467058,0.99222463,-10.005352,-13.448672,-4.8331714,-7.68659"
draw,"-424.80444,122.15151,-5.946558,3.3785245,-16.939634,-15.491551,-16.0055,3.0668817,-9.83117,-12.494615,3.8018913,-9.797918,-12.616676,-14.052715,-10.94953,-1.4833069,-6.192216,-14.111188,-3.3274271,-1.8001735"
draw,"-440.4981,134.92238,-7.562106,30.406286,-12.652079,-6.5203366,-7.281939,-4.430929,-7.678276,-9.747613,7.938288,-13.885753,-5.933056,-10.012185,-20.467058,0.99222463,-10.005352,-13.448672,-4.8331714,-7.68659"
draw,"-376.12698,137.57178,-7.289357,11.736701,-30.969702,-15.856744,-6.0330296,-4.4783416,-13.657166,-6.768672,3.1625016,-5.356989,-6.216313,-4.1836925,-5.64055,-6.0073915,-2.0297422,-15.478105,-9.373296,-2.9636369"
draw,"-403.52924,136.22783,-18.8699,3.5308597,-24.691498,5.4071236,-13.860598,-2.8777618,-3.131687,-5.1644807,1.066338,-6.2729993,-5.3383627,-8.224315,-1.15254,-4.3302245,-2.4348264,-7.9219785,-3.8370476,-8.127057"
